ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514875,HX170300,03/02/2014 10:50:00 PM,105XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,true,true,0512,005,9,49,14,1178395,1835255,2014,03/05/2014 12:39:37 AM,41.70324364244449,-87.62236907764316,"(41.70324364244449, -87.62236907764316)"
9514929,HX170314,03/02/2014 10:47:00 PM,058XX S HALSTED ST,0610,BURGLARY,FORCIBLE ENTRY,APPLIANCE STORE,false,false,0711,007,20,68,05,1172017,1865825,2014,03/06/2014 12:40:43 AM,41.78727387946496,-87.6448281634878,"(41.78727387946496, -87.6448281634878)"
9514951,HX170295,03/02/2014 10:45:00 PM,011XX S SACRAMENTO BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1134,011,28,29,08B,1156491,1895007,2014,03/07/2014 12:40:58 AM,41.867679972037756,-87.70096792212017,"(41.867679972037756, -87.70096792212017)"
9514860,HX170324,03/02/2014 10:45:00 PM,017XX W 47TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,true,false,0924,009,20,61,14,1165355,1873571,2014,03/05/2014 12:39:37 AM,41.808673634301094,-87.66903533031193,"(41.808673634301094, -87.66903533031193)"
9514834,HX170298,03/02/2014 10:40:00 PM,059XX S CALIFORNIA AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,0824,008,16,66,24,1158684,1865247,2014,03/05/2014 12:39:37 AM,41.78597035387293,-87.69373040469787,"(41.78597035387293, -87.69373040469787)"
9514896,HX170290,03/02/2014 10:38:00 PM,071XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0731,007,6,69,08B,1175566,1857779,2014,03/08/2014 12:40:21 AM,41.765116048791384,-87.63205617192088,"(41.765116048791384, -87.63205617192088)"
9514868,HX170317,03/02/2014 10:36:00 PM,032XX E 92ND ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE PORCH/HALLWAY,true,true,0424,004,10,46,04B,1199354,1844615,2014,03/05/2014 12:39:37 AM,41.7284278375079,-87.54530960516689,"(41.7284278375079, -87.54530960516689)"
9514859,HX170302,03/02/2014 10:35:00 PM,013XX W 56TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0713,007,16,67,08B,1168206,1867583,2014,03/05/2014 12:39:37 AM,41.792180935360555,-87.65875084188835,"(41.792180935360555, -87.65875084188835)"
9514895,HX170285,03/02/2014 10:32:00 PM,057XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0715,007,15,67,08B,1165704,1866426,2014,03/05/2014 12:39:37 AM,41.78905949222303,-87.6679581252963,"(41.78905949222303, -87.6679581252963)"
9514906,HX170334,03/02/2014 10:30:00 PM,115XX S STATE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,0522,005,34,53,07,1178290,1827965,2014,03/05/2014 12:39:37 AM,41.68324121088285,-87.62297370737258,"(41.68324121088285, -87.62297370737258)"
